20,
Snake, 2, 4, 5, 10, 20, 
Snake, 4, 5, 5, 10, 20,
Snake, 4, 9, 5, 10, 20,
Troll, 2, 9, 12, 30, 50,
Troll, 0, 9, 12, 30, 50,
Troll, 2, 2, 12, 30, 50,
Giant, 4, 0, 20, 80, 150,
Giant, 7, 2, 20, 80, 150,
Giant, 6, 12, 20, 80, 150,
Orc, 1, 0, 27, 120, 240,
Orc, 0, 0, 27, 120, 240,
Orc, 9, 6, 27, 120, 240,
Orc, 11, 7, 27, 120, 240,
Water Elemental, 4, 14, 32, 180, 360,
Water Elemental, 13, 7, 32, 180, 360,
Ice Witch, 13, 12, 38, 250, 440,
Ice Witch, 11, 11, 38, 250, 440,
Dragon, 10, 4, 40, 320, 500,
Dragon, 12, 1, 40, 320, 500,
Crystal Spider, 11, 14, 44, 420, 700,

 
